sep=,
Epoch,After_Batch,Loss
0,38200,0.1708470916748047
0,38300,0.14149141311645508
0,38400,0.1713618278503418
0,38500,0.15961674690246583
0,38600,0.1562754726409912
0,38700,0.1497426700592041
0,38800,0.13003320693969728
0,38900,0.14809730529785156
0,39000,0.1296209716796875
0,39100,0.15846786499023438
0,39200,0.13359320640563965
0,39300,0.1523880958557129
0,39400,0.1526476573944092
0,39500,0.1369010639190674
0,39600,0.15318981170654297
0,39700,0.1448164176940918
0,39800,0.14952461242675782
0,39900,0.12026950836181641
0,40000,0.14702985763549806
0,40100,0.13710658073425294
0,40200,0.16222742080688476
0,40300,0.1430751895904541
0,40400,0.14888216972351073
0,40500,0.15654969215393066
0,40600,0.15071552276611327
0,40700,0.18456268310546875
0,40800,0.16220352172851563
0,40900,0.17010953903198242
0,41000,0.1334829044342041
0,41100,0.13230649948120118
0,41200,0.14032289505004883
0,41300,0.13939167976379394
0,41400,0.13917567253112792
0,41500,0.1349326515197754
0,41600,0.15310778617858886
0,41700,0.1587127113342285
0,41800,0.16213945388793946
0,41900,0.1459962558746338
0,42000,0.1550016689300537
0,42100,0.1468648338317871
0,42200,0.16516483306884766
0,42300,0.18570480346679688
0,42400,0.14599310874938964
0,42500,0.1532255554199219
0,42600,0.12353046417236328
0,42700,0.14043951988220216
0,42800,0.13517909049987792
0,42900,0.1275947856903076
0,43000,0.16258857727050782
0,43100,0.1727272605895996
0,43200,0.1497722053527832
0,43300,0.13354496002197266
0,43400,0.17267871856689454
0,43500,0.15613781929016113
0,43600,0.1642898941040039
0,43700,0.13791865348815918
0,43800,0.1593405818939209
0,43900,0.14872862815856933
0,44000,0.15398524284362794
0,44100,0.15059881210327147
0,44200,0.1578751277923584
0,44300,0.11895574569702148
0,44400,0.18094907760620116
0,44500,0.144772310256958
0,44600,0.14327157020568848
0,44700,0.13528998374938964
0,44800,0.16608083724975586
0,44900,0.1637179183959961
0,45000,0.14105360984802245
0,45100,0.1637244415283203
0,45200,0.1193160057067871
0,45300,0.14687482833862306
0,45400,0.12931303024291993
0,45500,0.13748181343078614
0,45600,0.1447804069519043
0,45700,0.13081238746643067
0,45800,0.11759960174560546
0,45900,0.13475722312927246
0,46000,0.1474699306488037
